N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1001489;SERIE ESCENAS ESPA�OLAS. VIII.;"BAROJA, RICARDO";;0;13.5;13.5;;PINTURA;PAPEL;TINTA;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;240.40
1001490;SERIE ESCENAS ESPA�OLAS.;"BAROJA, RICARDO";;0;22.5;32.5;;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;270.46
1001491;SERIE ESCENAS ESPA�OLAS. X.;"BAROJA, RICARDO";;0;21.5;13.5;;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;210.35
1001492;SERIE ESCENAS ESPA�OLAS. XI.;"BAROJA, RICARDO";;0;39.5;26.5;;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;240.40
1001493;SERIE ESCENAS ESPA�OLAS. XII.;"BAROJA, RICARDO";;0;21.5;13.5;;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;240.40
1001494;SILLON LUIS XV;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;0.00
1001495;CONJUNTO MUEBLES LUIS XIII;ANONIMO;;0;0;0;;MUEBLE ARTISTICO;;;;Alta patrimonial;;COMPRAVENTA;0.00
1001496;COSMOS AA.N.C. 001-I;ALARCON FELICES;;0;0;0;;PINTURA;;;;Alta patrimonial;;COMPRAVENTA;901.52
1001497;PAISAJE DE PUERTO LUMBRERAS;"MARTINEZ TORRES, ANTONIO";;0;100;81;;PINTURA;TELA;ACRILICO;PAISAJE;Alta patrimonial;;COMPRAVENTA;450.76
1001498;EL SEGADOR;"ORTEGA LOPEZ, ANTONIO";;0;100;81;;PINTURA;;;PAISAJE;Alta patrimonial;;COMPRAVENTA;601.01
