Código,Nombre,Dirección,C.P.,Municipio,Pedanía,Teléfono,Fax,Email,URL Real,URL Corta,Latitud,Longitud,Descripción,Foto 1,Foto 2,Foto 3,Foto 4,Foto 5,Foto 6,Foto 7,Foto 8,Foto 9,Foto 10,Foto 11,Foto 12,Foto 13,Foto 14
54,Aeródromo,"Avda de la Libertad, 37",30710,Los Alcázares,LOS ALCÁZARES,968 582 107,,cultura@losalcazares.es,www.losalcazares.es,,4178839,689155,"Junto al histórico aeródromo de Los Alcázares, este museo exhibe maquetas de los distintos aviones que marcaron época, fotografías aéreas, cascos, armas, hélices de avión, garitas de vigilancia, cañones antiaéreos, etc... que permiten apreciar objetivamente lo que representó la Base Aérea de Los Alcázares en la historia de la aeronáutica militar española.",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820011_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820013_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00004820012_g.jpg,,,,,,,,,,,
129,Aquarium,C/ Cartagena s/n. (Antiguo Cuartel de Artillería),30002,Murcia,MURCIA,868 88 85 63,,,www.aquarium.um.es,,4205313,663972,"<p><span style='font-size:12px'>Ubicado en uno de los pabellones del antiguo Cuartel de Artiller&iacute,a, el Acuario de la Universidad de Murcia pretende facilitar el acercamiento del p&uacute,blico en general al medio marino. Adem&aacute,s el Aquarium supone una &uacute,til fuente de aprendizaje, gracias a la utilizaci&oacute,n de la <strong>gran cantidad de recursos did&aacute,cticos</strong> de que dispone.<br /><br />Consta de dos plantas en las que se podr&aacute, disfrutar de un recorrido por los m&aacute,s caracter&iacute,sticos ecosistemas marinos tanto tropicales como mediterr&aacute,neos.<br /><br />En los acuarios tropicales se representan con todo detalle ecosistemas del Mar Rojo, Oc&eacute,ano &Iacute,ndico, Oc&eacute,ano Pac&iacute,fico y Mar Caribe. En ellos se podr&aacute, observar multitud de organismos de estos h&aacute,bitats como <strong>tiburones de arrecife, peces &aacute,ngel, rayas, morenas, corales vivos, etc., </strong>as&iacute, como las relaciones existentes entre ellos.<br /><br />En la zona Mediterr&aacute,nea se podr&aacute, conocer de cerca una parte de nuestro entorno marino m&aacute,s pr&oacute,ximo en tanques que representan ambientes desde zonas superficiales con an&eacute,monas, salpas, julias, lenguados, etc., hasta zonas m&aacute,s profundas con tiburones de fondo, pintarrojas, etc. En estos tanques se puede observar hasta los mecanismos de reproducci&oacute,n de estos tiburones y las distintas fases de su desarrollo embrionario.</span><br />&nbsp,</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-129-1p_g.png,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-129-2p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-129-3p_g.jpg,,,,,,,,,,,
132,ARQUA Museo Nacional de Arqueología Subacuática,"Paseo Alfonso XII, 22",30201,Cartagena,CARTAGENA,968 121 166,968 529 692,informacion.arqua@mcu.es,http://museoarqua.mcu.es,,-979.527,37.597.914,"<p>El <strong>Museo Nacional de Arqueolog&iacute,a Subacu&aacute,tica (ARQUA)</strong> es la instituci&oacute,n responsable del estudio, valoraci&oacute,n, investigaci&oacute,n, conservaci&oacute,n, difusi&oacute,n y protecci&oacute,n del Patrimonio Cultural Subacu&aacute,tico espa&ntilde,ol.&nbsp,</p><p>Adem&aacute,s, el ARQUA,&nbsp,custodia el &#39,tesoro del Odyssey&#39,. La colecci&oacute,n de la fragata Nuestra Se&ntilde,ora de las Mercedes, que consta de m&aacute,s de 570.000 monedas de oro y plata de finales del siglo XVIII y principios del XIX.&nbsp,</p><p>&nbsp,</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-1p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-2p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-3p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-8p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-5p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-6p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-7p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-132-4p_g.jpg,,,,,,
110,"Casa - Museo Don Pepe Marsilla, Bullas 1900","C/ Rosario, 1",30180,Bullas,BULLAS,968 657 211,,casamuseodonpepe@bullas.es,http://rvbullas.es/rutadelvino/portfolio/casa-museo-don-pepe-marsilla/,,-1.669.867,38.049.716,"<p>Visitar la Casa &ndash, Museo Don Pepe Marsilla es realizar un aut&eacute,ntico viaje en el tiempo para conocer c&oacute,mo era la vida en Bullas a finales del s. XIX y principios del XX, El anfitri&oacute,n es Jos&eacute, Marsilla Melgares, conocido popularmente como &ldquo,Don Pepe&rdquo,, terrateniente, alcalde de Bullas en dos ocasiones y responsable de la importante reforma que en 1900 le dio al edificio su aspecto actual.&nbsp,<br />La casa est&aacute, dividida en dos partes, la zona residencial donde viv&iacute,a el se&ntilde,or con su familia y que incluye biblioteca, sala de estar, comedor principal y dormitorios, y la zona de labor, donde se manifiesta la importante actividad econ&oacute,mica que las extensas propiedades de Don Pepe generaban en la Bullas de la &eacute,poca. En ella destaca la bodega, con 57 tinajas y 140.000 litros de capacidad, distribuida entre el espacio dedicado a la elaboraci&oacute,n del vino destinado a la venta y el reservado para guardar los caldos m&aacute,s selectos de consumo particular.&nbsp,<br />Dentro de la Casa &ndash, Museo se encuentra tambi&eacute,n el Aula de Arqueolog&iacute,a, donde, a modo de gabinete, se exponen diversos hallazgos procedentes de los yacimientos de Bullas, muy especialmente los de la villa romana de Los Cantos.<br />Las visitas se pueden concertar mediante reserva previa en el Museo del Vino.&nbsp,</p><p>&nbsp,</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-1p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-2p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-3p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-4p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-5p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-6p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-13p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-8p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-9p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-10p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-11p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-12p_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-110-7p_g.jpg,
95,Casa Museo Antonio Campillo,"C/ Clavijo, 1",30562,Ceutí,CEUTI,968 692 540,968 691 373,,www.ceuti.es,,4216172,651825,"En la peatonalizada zona histórica de Ceutí, dentro de uno de los pocos edificios nobles del siglo XIX que se conservan en el pueblo, se encuentra el museo 'Antonio Campillo': Una colección única donde el visitante podrá conocer toda la trayectoria profesional del artista, descubrir los motivos que le obsesionaban (los caballos, la mujer, maternidad, las ciclistas), contemplar barros, bronces, escayolas, bustos, miniaturas, dibujos, bocetos... Todo el universo simbólico creado por Campillo, lo más representativo de su amplia obra y sin duda, la obra más completa que existe del mismo.<br><br>Visitar el museo es adentrarse en el mundo de Antonio Campillo, en sus temas recurrentes, en la insinuación que supone cada una de sus obras. Las salas están cargadas de belleza, de curvas sugerentes que invitan al visitante a perfilar la obra, a darle la expresión que desee, en su acto de complicidad con el artista. Así, cada pieza es permanentemente diferente, porque acaba de fraguarse en los ojos de cada visitante: no es un museo, si no muchos museos... tantos como personas lo visiten.",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampilloin_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillofront_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillo2in_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/mcampillomujer_g.jpg,,,,,,,,,,
91,Casa Museo de la Semana Santa,"C/ Cánovas del Castillo, s/n",30530,Cieza,CIEZA,968 453 500,,,,,4233551,637783,"<p>Edificada en 1970, alberga en su interior una parte importante del patrimonio de las Cofradias de la Semana Santa de Cieza: imagenes, tronos, estandartes, faroles, b&aacute,culos, vestuario, etc. La planta inferior esta dedicada &iacute,ntegramente a los pasos que desfilan en nuestras procesiones. En la planta superior se distribuyen las dependencias de las distintas cofrad&iacute,as y de la propia Junta de Hermandades, as&iacute, como la Sala de Juntas y Exposiciones, en la que pueden contemplarse enseres y documentaci&oacute,n gr&aacute,fica y escrita de car&aacute,cter hist&oacute,rico, referente todo ello a la Semana Santa ciezana.</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001920032_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/00001920031_g.jpg,,,,,,,,,,,,
5768,Casa Museo Miguel Hernández,"C/ Miguel Hernández, 73",3300,Orihuela,,965 30 63 27,,,http://www.orihuelaturistica.es,,-942.197,38.089.166,"<p>El poeta Miguel Hern&aacute,ndez vivi&oacute, en esta casa con sus padres y hermanos desde 1914 hasta 1934. A&ntilde,os despu&eacute,s, concretamente en 1981, el Ayuntamiento de Orihuela la adquiri&oacute, y restaur&oacute,. La reapertura al p&uacute,blico fue solo cuatro a&ntilde,os m&aacute,s tarde, en 1985.<br />Esta vivienda, t&iacute,pica de principios del siglo XX, ofrece al visitante todos los detalles necesarios para hacerse una idea de c&oacute,mo de sencilla era la vida de Miguel Hern&aacute,ndez. Se trata de una casa con una explotaci&oacute,n ganadera y que, como es habitual, se ha de adaptar al terreno sobre el que se construy&oacute,.<br />El que fue el hogar de Miguel Hern&aacute,ndez era bastante grande, como ver&aacute,s cuando accedas a &eacute,l. Consta de comedor, salita, habitaci&oacute,n de los padres, habitaci&oacute,n de las hermanas (Encarna y Elvira) habitaci&oacute,n de Miguel y de su hermano Vicente y la cocina. El museo conserva todas estas partes, as&iacute, como el ajuar t&iacute,pico de la &eacute,poca y diversas fotos del poeta con su familia.</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-1_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-3_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-5768-2_g.jpg,,,,,,,,,,,
4799,Casa-Museo de los Caballos del Vino,"C/ Gregorio Javier, 21",30400,Caravaca de la Cruz,,968 70 56 20 (Reservas) / 868 18 50 96 (Museo),,reservas@caravacadelacruz.es,www.turismocaravaca.com,,-1.862.361,38.107.778,"<p>Una vivienda del siglo XVIII totalmente rehabilitada. Eso es lo que es esta casa donde residi&oacute, la familia Muso Mu&ntilde,oz Melgarejo. Est&aacute, totalmente rehabilitada, se encuentra ubicada en este espacio dedicado a los Caballos del Vino.<br />A trav&eacute,s de diversas salas y audiovisuales se transmite y difunde lo que son las ra&iacute,ces y el presente de un festejo que en la actualidad es candidato a Patrimonio Cultural Inmaterial de la Humanidad.</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-1_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-4_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-3_g.jpg,http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-4799-2_g.jpg,,,,,,,,,,
4832,Casa-Museo del Belén,"Calle Olivo esquina con Travesía Torre 2, s/n,",30006,Murcia,PUENTE TOCINOS,968 30 11 26,,casadelbelen@ayto-murcia.es,,,-1.100.391,37.992.000,"No hay que irse muy lejos para disfrutar del Belén de Puente Tocinos. Su casa-museo se ubica en la Casa Torre del pueblo, más conocida como la del Reloj.  A través de este edificio se promociona y difunde la artesanía del Belén con obras y artistas locales pero de gran prestigio nacional. Cabe destacar que Puente Tocinos siempre ha sido conocida por su tradición belenística. <br><br><strong>ÉPOCA:</strong> Casa del siglo XVIII. Museo del siglo XXI.<strong><br>ESTILO:</strong> Arquitectura popular.<br><br>Foto realizada por: José Luis Montero",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/MUSEOS_1_4832_1_g.jpg,,,,,,,,,,,,,
71,Centro de Documentación y Exposición de Cabo de Palos,Cabo de Palos. Junto Iglesia,70287,La Manga,LA MANGA Cartagena,968 145 309,,,,,-702.132,37.631.882,"<p><strong>Un encuentro con la naturaleza y el mundo submarino de la Regi&oacute,n </strong><br /><br />Descubre el mundo submarino de la Regi&oacute,n de Murcia, la extraordinaria diversidad de sus fondos marinos, la historia de los grandes naufragios de Cabo de Palos, la formaci&oacute,n del Mar Menor y la reproducci&oacute,n de los caballitos de mar en su acuario.<br /><br />El Centro est&aacute, situado junto al puerto, punto de partida de la Reserva Marina de las Islas Hormigas y muestra la diversidad y riqueza del litoral de Murcia y, en especial, de Cabo de Palos, uno de los enclaves oceanogr&aacute,ficos m&aacute,s extraordinarios del Mediterr&aacute,neo.<br /><br />Los visitantes disfrutan de un paseo visual por la extraordinaria naturaleza de la Regi&oacute,n con ayuda de cinco &aacute,reas tem&aacute,ticas y una gran maqueta que permite contemplar en detalle toda la geograf&iacute,a de la Comunidad Aut&oacute,noma de Murcia.<br /><br />La historia de los grandes naufragios de Cabo de Palos, como el c&eacute,lebre Sirio, la formaci&oacute,n de la Manga y los caballitos de mar en el acuario son otros de los atractivos de la visita que se completa con la proyecci&oacute,n del v&iacute,deo &quot,Cabo de Palos un mar de vida&quot, .<br />&nbsp,</p>",http://www.murciaturistica.es/webs/murciaturistica/fotos/1/museos/recurso-1-71-1_g.jpg,,,,,,,,,,,,,
