id_autor,id_usuario,titulo,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
2045,1,SERIE ESCENAS ESPA�OLAS. VIII.,0.0,13.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS.,0.0,22.5,32.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. X.,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. XI.,0.0,39.5,26.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. XII.,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1535,1,SILLON LUIS XV,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR
1535,1,CONJUNTO MUEBLES LUIS XIII,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR
1536,1,COSMOS AA.N.C. 001-I,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2048,1,PAISAJE DE PUERTO LUMBRERAS,0.0,100.0,81.0,DESCONOCIDA,PINTURA,TELA,ACRILICO,PAISAJE
2049,1,EL SEGADOR,0.0,100.0,81.0,DESCONOCIDA,PINTURA,,,PAISAJE
2050,1,RESURRECCION HIPERC�BICA,0.0,130.0,130.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,FIGURATIVO
2051,1,NAZARENOS COLORAOS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2051,1,PROBADOR DE SOMBREROS,0.0,21.0,31.0,DESCONOCIDA,PINTURA,,ACUARELA,FIGURATIVO
2051,1,GEMAS,0.0,68.0,57.0,DESCONOCIDA,PINTURA,,OLEO,FIGURATIVO
2052,1,RETRATO,0.0,41.0,52.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
2053,1,PLANO DE SAN FRANCISCO,0.0,73.0,54.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
2054,1,TORSO DE DONCEL,13.0,22.0,62.0,DESCONOCIDA,ESCULTURA,,ESCAYOLA,DESNUDO
2054,1,MODELO,0.0,20.0,30.0,DESCONOCIDA,DIBUJO,PAPEL,CARBONCILLO,FIGURATIVO
2054,1,MODELO,0.0,20.0,30.0,DESCONOCIDA,DIBUJO,PAPEL,CARBONCILLO,FIGURATIVO
2055,1,MUJER SENTADA,10.0,17.0,29.0,DESCONOCIDA,ESCULTURA,,BRONCE,DESNUDO
2056,1,MATRONA DEL ALMUDI,0.0,44.0,59.0,DESCONOCIDA,PINTURA,,OLEO,ALEGORICA
2057,1,EL ENCAPADO,0.0,66.0,166.0,DESCONOCIDA,PINTURA,MADERA,,FIGURATIVO
2058,1,TITULO DESCONOCIDO,0.0,66.0,100.0,DESCONOCIDA,PINTURA,,OTROS,SIN DEFINIR
1548,1,CARNET DE IDENTIDAD,0.0,77.0,112.0,DESCONOCIDA,SERIGRAFIA,PAPEL,OTROS,COMPOSICION
2049,1,ROSAL,0.0,96.0,92.0,DESCONOCIDA,FOTOGRAFIA,PAPEL,LAPIZ,PAISAJE
2061,1,EL ENCUENTRO,22.0,28.0,47.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2062,1,LOTURA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1552,1,UNTERHOLTUNG,0.0,105.0,185.0,DESCONOCIDA,PINTURA,,OTROS,COMPOSICION
2064,1,TITULO DESCONOCIDO,11.5,148.0,83.0,DESCONOCIDA,ESCULTURA,MADERA,,SIN DEFINIR
2065,1,DIOMEDES AYUDADO POR ATENEA HIERE A MARTE,0.0,2.54,1.84,DESCONOCIDA,PINTURA,,OLEO,ALEGORICA
2045,2,SERIE ESCENAS ESPA�OLAS. I.,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,GRABADO,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. II.,0.0,21.5,13.5,DESCONOCIDA,PINTURA,,,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS,0.0,21.5,13.5,DESCONOCIDA,OBRA GRAFICA,PAPEL,TINTA,COSTUMBRISMO
2045,2,SERIE ESCENAS ESPA�OLAS. IV.,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. V.,0.0,39.5,29.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. VI.,0.0,39.5,29.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2045,2,SERIE ESCENAS ESPA�OLAS. VII.,0.0,0.0,0.0,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
2066,1,GOGUEN,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2067,2,SILLA CON TELA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1535,2,BOTELLA DE LICOR,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1535,1,BOTELLA DE LICOR,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1535,1,UNA PAREJA DE JOVENES BISCUIT,0.0,0.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
1535,1,GALERA-MACETERO,50.0,75.0,39.0,DESCONOCIDA,OTROS,,MADERA,SIN DEFINIR
1535,1,AGUAMANIL DE PORCELANA INGLESA,0.0,0.0,0.0,DESCONOCIDA,OTROS,,BARRO,SIN DEFINIR
1535,1,QUINQUE DE OPALINA,0.0,0.0,0.0,DESCONOCIDA,OTROS,,CRISTAL,SIN DEFINIR
1535,1,"FIGURA DE PORCELANA ""VIAJE DE COLON""",0.0,0.0,0.0,DESCONOCIDA,OTROS,,PORCELANA,SIN DEFINIR
