,nombre_autor
0,"BAROJA, RICARDO"
1,"BAROJA, RICARDO"
2,"BAROJA, RICARDO"
3,"BAROJA, RICARDO"
4,"BAROJA, RICARDO"
5,DESCONOCIDO
6,DESCONOCIDO
7,ALARCON FELICES
8,"MARTINEZ TORRES, ANTONIO"
9,"ORTEGA LOPEZ, ANTONIO"
10,"HERNANSAEZ DE DIOS, ANGEL"
11,"BALLESTER NAVARRO, MARIANO"
12,"BALLESTER NAVARRO, MARIANO"
13,"BALLESTER NAVARRO, MARIANO"
14,"GARCIA FERNANDEZ, JOAQUIN"
15,"MU�OZ BARBERAN, MANUEL"
16,"GONZALEZ MORENO, JUAN"
17,"GONZALEZ MORENO, JUAN"
18,"GONZALEZ MORENO, JUAN"
19,"TOLEDO TORRECILLAS, LUIS"
20,"FLORES, PEDRO"
21,"LEIRO, FRANCISCO"
22,"TAPIES, ANTONI"
23,EQUIPO CRONICA
24,"LOPEZ, ANTONIO"
25,"LOPEZ HERNANDEZ, JULIO"
26,"CHILLIDA, EDUARDO"
27,LIDO RICO
28,"GOYENETXEA, BEGO�A"
29,"TEJEO, RAFAEL"
30,"BAROJA, RICARDO"
31,"BAROJA, RICARDO"
32,"BAROJA, RICARDO"
33,"BAROJA, RICARDO"
34,"BAROJA, RICARDO"
35,"BAROJA, RICARDO"
36,"BAROJA, RICARDO"
37,"CASTA�O, CARMEN"
38,"DIAZ BAUTISTA, ANTONIO"
39,DESCONOCIDO
40,DESCONOCIDO
41,DESCONOCIDO
42,DESCONOCIDO
43,DESCONOCIDO
44,DESCONOCIDO
45,DESCONOCIDO
46,DESCONOCIDO
47,DESCONOCIDO
48,DESCONOCIDO
49,DESCONOCIDO
50,"AVELLANEDA, MANUEL"
51,"MOLINA SANCHEZ, JOSE ANTONIO"
52,"MOLINA SANCHEZ, JOSE ANTONIO"
53,"MOLINA SANCHEZ, JOSE ANTONIO"
54,"BONAFE, JUAN"
55,"BONAFE, JUAN"
56,"BONAFE, JUAN"
57,JULIO ANTONIO
58,"GOMEZ CANO, ANTONIO"
59,"GOMEZ CANO, ANTONIO"
60,"GOMEZ CANO, ANTONIO"
61,VICTORIO NICOLAS
62,"BELZUNCE, MANOLO"
63,"CACHO, JOSE LUIS"
64,"MARTINEZ MENGUAL, ANTONIO"
65,"SAURA SERNA, FRANCISCO"
66,"AZPARREN, J."
67,"MOLINA SANCHEZ, JOSE ANTONIO"
68,"BARNUEVO, MANUEL"
69,"JIMENEZ, ANTONIO"
70,"HARO, ANGEL"
71,"ALONSO LUZZY, RAMON"
72,"CAMPUZANO MORENO, ESTEBAN"
73,"CANOVAS SALA, FRANCISCO"
74,"LINARES, ESTEBAN"
75,"VIVO, PACO"
76,"DELGADO, MANUEL"
77,"CONESA, PACO"
78,"GARCIA OLIVARES, ADELA"
79,"PINA NORTES, �NGEL"
80,"BALLESTER, ANTONIO"
