nombre_autor
"BAROJA, RICARDO"
DESCONOCIDO
ALARCON FELICES
"MARTINEZ TORRES, ANTONIO"
"ORTEGA LOPEZ, ANTONIO"
"HERNANSAEZ DE DIOS, ANGEL"
"BALLESTER NAVARRO, MARIANO"
"GARCIA FERNANDEZ, JOAQUIN"
"MU�OZ BARBERAN, MANUEL"
"GONZALEZ MORENO, JUAN"
"TOLEDO TORRECILLAS, LUIS"
"FLORES, PEDRO"
"LEIRO, FRANCISCO"
"TAPIES, ANTONI"
EQUIPO CRONICA
"LOPEZ, ANTONIO"
"LOPEZ HERNANDEZ, JULIO"
"CHILLIDA, EDUARDO"
LIDO RICO
"GOYENETXEA, BEGO�A"
"TEJEO, RAFAEL"
"CASTA�O, CARMEN"
"DIAZ BAUTISTA, ANTONIO"
"AVELLANEDA, MANUEL"
"MOLINA SANCHEZ, JOSE ANTONIO"
"BONAFE, JUAN"
JULIO ANTONIO
"GOMEZ CANO, ANTONIO"
VICTORIO NICOLAS
"BELZUNCE, MANOLO"
"CACHO, JOSE LUIS"
"MARTINEZ MENGUAL, ANTONIO"
"SAURA SERNA, FRANCISCO"
"AZPARREN, J."
"BARNUEVO, MANUEL"
"JIMENEZ, ANTONIO"
"HARO, ANGEL"
"ALONSO LUZZY, RAMON"
"CAMPUZANO MORENO, ESTEBAN"
"CANOVAS SALA, FRANCISCO"
"LINARES, ESTEBAN"
"VIVO, PACO"
"DELGADO, MANUEL"
"CONESA, PACO"
"GARCIA OLIVARES, ADELA"
"PINA NORTES, �NGEL"
"BALLESTER, ANTONIO"
"ANDREU MAURANDI, DOLORES"
"SERNA VERDU, PEDRO"
"SALAS, PILAR"
"BOVET, MATEO"
"BORONAT, M."
"MERCADO, JUAN DE DIOS"
"NIETO, ENRIQUE"
"STILES, PAUL"
"HERNANDEZ COP, FRANCISCO"
"�IGUEZ, FRANCISCO"
"GONZALEZ ALBERDI, MERCEDES"
"PARRAGA, JOSE MARIA"
"CHARRIS, ANGEL MATEO"
"GAYA, RAMON"
VARIOS
"MORALES, SOFIA"
"CATARINEU, DORA"
"FALGAS RIGAL, JOSE MARIA"
"TRENADO, CARMELO"
"CEREZO MONTILLA, FRANCISCO"
"GARCIA, IGNACIO"
"GARCIA SILVA, FRANCISCO"
"SAEZ, ASENSIO"
"CANO HERNANDEZ, PEDRO"
BERNAL AGUIRRE
"MONEREO, CHELETE"
"CASCAJOSA ARROYO, ENRIQUE"
"RUIZ, VICENTE"
EMILIO PASCUAL
"SEGURA, JUANA"
"MONTERO FENOLLOS, LUISA"
"PORRAS LOBO, LUISA"
"CEBALLOS, TOMY"
"CARBONELL TATAY, AMPARO"
"MONTALBAN ROMERO, ROSARIO"
"PONTE PUCHE, JOSE"
VICENTE LOPEZ JOSE MARIA
"CANSECO LAVADO, MIGUEL"
ULI SCHWANDWER
"NOGUERO RICOL, JOSE"
PABLO SACRISTAN FELIX LUENGO
"GARCIA ARROYO, MARIA A."
"PEREZ MARTINEZ, AURELIO"
"GARZA,RAMON"
"SASTRE, ADELA"
"GARRIGOS MESEGUER, ALFONSO"
"PASTOR, J."
"TOLEDO, PEDRO"
J. LUIS PE�A
"LUCAS, PEPE"
WILLI RAMOS
MARTINEZ LAX
"CARRERAS CAPO, ANDA DEL CARMEN"
"SCOTT, REBECA"
"CARRASCOSAS, JOSE LUIS"
MAYA CORTES
"PALMERO, LUIS"
"BAEZ, JOSE MARIA"
"VIVO SANCHEZ, MIGUEL"
J�ELMESTRE FROISSARD
"PALAU RICART, FERNANDO"
"SICRE MAQUEDA, GONZALO"
"TORRES LLAMAS, FRANCISCO"
SAENZ LLORENTE
"ATALAYA, ENRIQUE"
WILLIAMS HOUGURT Y LUKE SULLIV
HAIG.A.H.
"CORTILS, EDUARDO"
"MOLINA SANCHEZ, LUIS"
SANCHEZ M.
CRESPO FOIX
"JEREZ FERNANDEZ, TOMAS"
"BETANCURT, JUAN JOSE"
"ALARCON TUDELA, JOSE"
"LOPEZ RODRIGUEZ, ANTONIO"
MARTINEZ HITA
"NAVARRO, CARMEN"
"ORTEGA, JOSE"
"VILLAJOS, CONCHI"
"TOVAR,JOSEFA"
BASI ALONS Y CONSUELO TARRAGA
"MIRETE, DIEGO"
BLAYA REYES
CHAFER BIXQUERT
"CUESTA VALERA, SALOME"
"ORTU�O MENGUAL, PEDRO"
"BAS,PEDRO"
"SAENZ, CARMEN"
SIXTO BLASCO
SANCHEZ ABRIL
"PINA RUIZ, ANGEL"
"MARTINEZ, C."
"ROS, VICENTE"
"NAVARRO, GABRIEL"
"SORIANO TALAVERA, ANTONIO"
SOBEJANO
"TAYLOR, ANN"
TEO
"VALERA, CEFERINO"
"BRIASCO, VICTORIANO"
"PALAO, M."
MUHER
"LOZANO, LUIS"
"MONTEAGUDO, ANGEL"
"BRAQUEHAIS,RAFAEL"
JIMENEZ ASENSIO
"CARRASCO JIMENO,JOSE MARIA"
"PASTOR, LUIS MANUEL"
"ROJO MARTIN, CHARO"
"LOPEZ, CONCHI"
"ROMERA NAVARRO, MARCOS SALVADO"
NAVARRO CARRETERO
"CORONADO, MANUEL"
"EVANGELISTA, JUAN"
"GONZALEZ, MARCOS"
"JIMENEZ ASENSIO, JUAN"
JORQUERA MINGUEZ
"LOPEZ, IGNACIO"
"KAZARIN, VICTOR"
"SANCHEZ LOPEZ, PEDRO"
"ADALID, LUIS"
"BARCELO, JOSE"
CAPARROS
"CEREZO, ANGELES"
"EDUARDO CAPARROS, V."
CARRETERO
CANOVAS
"SALINAS, PACO"
"MOLINA, VICENTE JUAN"
"PARRA, LEANDRO"
"SAURA, ANGELES"
FERINGTON
"FERNANDEZ SAURA, ANGEL"
"SAURA, ANTONIO"
"OTAMENDI BARANGUAN, KUTXU"
"LAMAS, MENCHU"
"FIGARI LLOP, DIEGO"
"CLARAMUNT, LUIS"
"DOKOUPIL, GEORGE J."
AGUDO CRESPO
CAMPANO
"TORNE VALLE, GONZALO"
SALVADOR FERNANDEZ
LUIS M.
"VAZQUEZ,A.M."
"ARTIGAS GUILLAMON ,CARMEN"
"HERNANDEZ CARPE, ANTONIO"
KHAZZOUM
"VIUDES, VICENTE"
"ESCORIAL, CARMEN"
"PORTILLO, PABLO"
"PARRA, NICOLAS"
"MARQUEZ, PABLO"
ARROYO
"GOMEZ CANO, CARLOS"
"PARDO, PEDRO"
GUIRAO
BARBA
"CEREZO, ZACARIAS"
"PEREIRA, M.C.A."
"REYES GUILLEN, J."
"VALENCIANO, CARLOS"
MARTINEZ LOZANO
GARCIA JIMENEZ. JUAN E.
RUBIO PACHEO
"RUIZ, MANUEL L.(LOLO)"
GARCIA A.
"BRANDARD, J."
HIDALGO DE CISNEROS
GONZALEZ RAMON
"GOMEZ-OSUNA, MONSERRAT"
"CAUBIOS, PIERRE"
MURADO
"GARCIA ASENJO, PALOMA"
"GALINDO, JORGE"
SATRUSTEGUI ZAPATERO
BALLESTER PINILLOS
"FERNANDEZ DE MOYA, DIEGO"
"AYALA, DIEGO DE"
"ALMANSA, NICOLAS"
HERNANDEZ CANO
"ROBLES LOPEZ, JOSE MARIA"
"ARAEZ, MONTSE"
"SAURA MIRA, FULGENCIO"
"DIS BERLIN CARRERA, MARIANO"
"INSERTIS, PILAR"
"ISIDRO NORIEGA,JUAN FRANCISCO"
"NAVARRO BALDEWEG, JUAN"
