id_inventario,titulo,nombre_autor,fecha_creacion,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica,estado_patrimonial,usuario,alta,valor_adquisicion(euros)
1001489,SERIE ESCENAS ESPA�OLAS. VIII.,"BAROJA, RICARDO",DESCONOCIDO,0.0,13.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,240.4
1001490,SERIE ESCENAS ESPA�OLAS.,"BAROJA, RICARDO",DESCONOCIDO,0.0,22.5,32.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO,Cedido patrimonial,AYUNTAMIENTO DE LA UNION,COMPRAVENTA,270.46
1001491,SERIE ESCENAS ESPA�OLAS. X.,"BAROJA, RICARDO",DESCONOCIDO,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO,Cedido patrimonial,AYUNTAMIENTO DE LA UNION,COMPRAVENTA,210.35
1001492,SERIE ESCENAS ESPA�OLAS. XI.,"BAROJA, RICARDO",DESCONOCIDO,0.0,39.5,26.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO,Cedido patrimonial,AYUNTAMIENTO DE LA UNION,COMPRAVENTA,240.4
1001493,SERIE ESCENAS ESPA�OLAS. XII.,"BAROJA, RICARDO",DESCONOCIDO,0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO,Cedido patrimonial,AYUNTAMIENTO DE LA UNION,COMPRAVENTA,240.4
1001494,SILLON LUIS XV,DESCONOCIDO,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,0.0
1001495,CONJUNTO MUEBLES LUIS XIII,DESCONOCIDO,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,0.0
1001496,COSMOS AA.N.C. 001-I,ALARCON FELICES,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,901.52
1001497,PAISAJE DE PUERTO LUMBRERAS,"MARTINEZ TORRES, ANTONIO",DESCONOCIDO,0.0,100.0,81.0,DESCONOCIDA,PINTURA,TELA,ACRILICO,PAISAJE,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,450.76
1001498,EL SEGADOR,"ORTEGA LOPEZ, ANTONIO",DESCONOCIDO,0.0,100.0,81.0,DESCONOCIDA,PINTURA,,,PAISAJE,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,601.01
1001499,RESURRECCION HIPERC�BICA,"HERNANSAEZ DE DIOS, ANGEL",01.01.1974,0.0,130.0,130.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,FIGURATIVO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,0.0
1001515,NAZARENOS COLORAOS,"BALLESTER NAVARRO, MARIANO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,4507.59
1001516,PROBADOR DE SOMBREROS,"BALLESTER NAVARRO, MARIANO",DESCONOCIDO,0.0,21.0,31.0,DESCONOCIDA,PINTURA,,ACUARELA,FIGURATIVO,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1502.53
