id_inventario;titulo;nombre_autor;fecha_creacion;fondo (cm);ancho (cm);alto (cm);tecnica;tipo;material_base;material_secundario;tematica;estado_patrimonial;usuario;alta;valor_adquisicion(euros)
1001489;SERIE ESCENAS ESPA?OLAS. VIII.;BAROJA, RICARDO;DESCONOCIDO;0;135;135;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;2404
1001490;SERIE ESCENAS ESPA?OLAS.;BAROJA, RICARDO;DESCONOCIDO;0;225;325;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;27046
1001491;SERIE ESCENAS ESPA?OLAS. X.;BAROJA, RICARDO;DESCONOCIDO;0;215;135;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;21035
1001492;SERIE ESCENAS ESPA?OLAS. XI.;BAROJA, RICARDO;DESCONOCIDO;0;395;265;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001493;SERIE ESCENAS ESPA?OLAS. XII.;BAROJA, RICARDO;DESCONOCIDO;0;215;135;DESCONOCIDA;PINTURA;PAPEL;TINTA;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
1001494;SILLON LUIS XV;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;MUEBLE ARTISTICO;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001495;CONJUNTO MUEBLES LUIS XIII;DESCONOCIDO;DESCONOCIDO;0;0;0;DESCONOCIDA;MUEBLE ARTISTICO;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001496;COSMOS AA.N.C. 001-I;ALARCON FELICES;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;90152
1001497;PAISAJE DE PUERTO LUMBRERAS;MARTINEZ TORRES, ANTONIO;DESCONOCIDO;0;1000;810;DESCONOCIDA;PINTURA;TELA;ACRILICO;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;45076
1001498;EL SEGADOR;ORTEGA LOPEZ, ANTONIO;DESCONOCIDO;0;1000;810;DESCONOCIDA;PINTURA;;;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;60101
1001499;RESURRECCION HIPERC?BICA;HERNANSAEZ DE DIOS, ANGEL;01.01.1974;0;1300;1300;DESCONOCIDA;PINTURA;LIENZO;OLEO;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;0
1001515;NAZARENOS COLORAOS;BALLESTER NAVARRO, MARIANO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;450759
1001516;PROBADOR DE SOMBREROS;BALLESTER NAVARRO, MARIANO;DESCONOCIDO;0;210;310;DESCONOCIDA;PINTURA;;ACUARELA;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;150253
1001517;GEMAS;BALLESTER NAVARRO, MARIANO;01.01.1960;0;680;570;DESCONOCIDA;PINTURA;;OLEO;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;450759
1001518;RETRATO;GARCIA FERNANDEZ, JOAQUIN;DESCONOCIDO;0;410;520;DESCONOCIDA;PINTURA;;OLEO;RETRATO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;901518
1001519;PLANO DE SAN FRANCISCO;MU?OZ BARBERAN, MANUEL;DESCONOCIDO;0;730;540;DESCONOCIDA;PINTURA;;OLEO;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;48081
1001520;TORSO DE DONCEL;GONZALEZ MORENO, JUAN;DESCONOCIDO;130;220;620;DESCONOCIDA;ESCULTURA;;ESCAYOLA;DESNUDO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;390658
1001521;MODELO;GONZALEZ MORENO, JUAN;DESCONOCIDO;0;200;300;DESCONOCIDA;DIBUJO;PAPEL;CARBONCILLO;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;60101
1001522;MODELO;GONZALEZ MORENO, JUAN;DESCONOCIDO;0;200;300;DESCONOCIDA;DIBUJO;PAPEL;CARBONCILLO;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;60101
1001523;MUJER SENTADA;TOLEDO TORRECILLAS, LUIS;DESCONOCIDO;100;170;290;DESCONOCIDA;ESCULTURA;;BRONCE;DESNUDO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;120202
1001524;MATRONA DEL ALMUDI;FLORES, PEDRO;DESCONOCIDO;0;440;590;DESCONOCIDA;PINTURA;;OLEO;ALEGORICA;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;1803036
1001525;EL ENCAPADO;LEIRO, FRANCISCO;DESCONOCIDO;0;660;1660;DESCONOCIDA;PINTURA;MADERA;;FIGURATIVO;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;348587
1001526;TITULO DESCONOCIDO;TAPIES, ANTONI;DESCONOCIDO;0;660;1000;DESCONOCIDA;PINTURA;;OTROS;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;108062
1001527;CARNET DE IDENTIDAD;EQUIPO CRONICA;DESCONOCIDO;0;770;1120;DESCONOCIDA;SERIGRAFIA;PAPEL;OTROS;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;400875
1001528;ROSAL;LOPEZ, ANTONIO;DESCONOCIDO;0;960;920;DESCONOCIDA;FOTOGRAFIA;PAPEL;LAPIZ;PAISAJE;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;348587
1001529;EL ENCUENTRO;LOPEZ HERNANDEZ, JULIO;DESCONOCIDO;220;280;470;DESCONOCIDA;ESCULTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;209152
1001530;LOTURA;CHILLIDA, EDUARDO;DESCONOCIDO;0;0;0;DESCONOCIDA;PINTURA;;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;191723
1001531;UNTERHOLTUNG;LIDO RICO;DESCONOCIDO;0;1050;1850;DESCONOCIDA;PINTURA;;OTROS;COMPOSICION;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;46909
1001532;TITULO DESCONOCIDO;GOYENETXEA, BEGO?A;DESCONOCIDO;115;1480;830;DESCONOCIDA;ESCULTURA;MADERA;;SIN DEFINIR;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;318311
1001533;DIOMEDES AYUDADO POR ATENEA HIERE A MARTE;TEJEO, RAFAEL;01.01.1846;0;254;184;DESCONOCIDA;PINTURA;;OLEO;ALEGORICA;Alta patrimonial;SIN DEFINIR;COMPRAVENTA;7512651
1001534;SERIE ESCENAS ESPA?OLAS. I.;BAROJA, RICARDO;01.01.2008;0;215;135;DESCONOCIDA;PINTURA;PAPEL;GRABADO;FIGURATIVO;Cedido patrimonial;AYUNTAMIENTO DE LA UNION;COMPRAVENTA;2404
