id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001489,SERIE ESCENAS ESPA�OLAS. VIII.,"BAROJA, RICARDO",0.0,13.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1001490,SERIE ESCENAS ESPA�OLAS.,"BAROJA, RICARDO",0.0,22.5,32.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1001491,SERIE ESCENAS ESPA�OLAS. X.,"BAROJA, RICARDO",0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1001492,SERIE ESCENAS ESPA�OLAS. XI.,"BAROJA, RICARDO",0.0,39.5,26.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1001493,SERIE ESCENAS ESPA�OLAS. XII.,"BAROJA, RICARDO",0.0,21.5,13.5,DESCONOCIDA,PINTURA,PAPEL,TINTA,FIGURATIVO
1001494,SILLON LUIS XV,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR
1001495,CONJUNTO MUEBLES LUIS XIII,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,MUEBLE ARTISTICO,,,SIN DEFINIR
1001496,COSMOS AA.N.C. 001-I,ALARCON FELICES,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001497,PAISAJE DE PUERTO LUMBRERAS,"MARTINEZ TORRES, ANTONIO",0.0,100.0,81.0,DESCONOCIDA,PINTURA,TELA,ACRILICO,PAISAJE
1001498,EL SEGADOR,"ORTEGA LOPEZ, ANTONIO",0.0,100.0,81.0,DESCONOCIDA,PINTURA,,,PAISAJE
1001499,RESURRECCION HIPERC�BICA,"HERNANSAEZ DE DIOS, ANGEL",0.0,130.0,130.0,DESCONOCIDA,PINTURA,LIENZO,OLEO,FIGURATIVO
1001515,NAZARENOS COLORAOS,"BALLESTER NAVARRO, MARIANO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001516,PROBADOR DE SOMBREROS,"BALLESTER NAVARRO, MARIANO",0.0,21.0,31.0,DESCONOCIDA,PINTURA,,ACUARELA,FIGURATIVO
1001517,GEMAS,"BALLESTER NAVARRO, MARIANO",0.0,68.0,57.0,DESCONOCIDA,PINTURA,,OLEO,FIGURATIVO
1001518,RETRATO,"GARCIA FERNANDEZ, JOAQUIN",0.0,41.0,52.0,DESCONOCIDA,PINTURA,,OLEO,RETRATO
1001519,PLANO DE SAN FRANCISCO,"MU�OZ BARBERAN, MANUEL",0.0,73.0,54.0,DESCONOCIDA,PINTURA,,OLEO,PAISAJE
